X,Y,OBJECTID,SH,RS,RP,siteRef,lane,type,percentHeavy,equipmentCurrent,description,region,acceptedDays,AADT5yearsAgo,AADT4yearsAgo,AADT3yearsAgo,AADT2yearsAgo,AADT1yearAgo,siteType
1687583.2763,6092784.9807,1,10,0,7.38000011444092,01000007,Both,Non-Continuous,7.4,Dual Loop,Sth of Puketona Rd (SH11),01 - Northland,28,4566,4988,5401,5501,4954,Regional Non-Continuous
1686763.3872,6095527.6731,2,10,7,3.00999999046326,01000011,Both,Non-Continuous,6.6,Dual Loop,Nth of Wakelin Rd (about 3.5km north of SH11),01 - Northland,35,8603,9415,9737,9952,9001,Regional Non-Continuous
1683979.594,6099668.5755,3,10,7,8.22999954223633,01000015,Both,Non-Continuous,6.9,Dual Loop,Springbank Road 1km south of Waimate Nth Rd,01 - Northland,42,6691,7275,7201,7918,7419,Regional Non-Continuous
1680410.7298,6110298.5976,4,10,17,11.1400003433228,01000029,Both,Continuous,8.4,Dual Loop,About 1km south of Takou Bay Rd,01 - Northland,126,4127,4466,4704,4934,4853,Regional Continuous
1658992.7702,6124061.6402,5,10,48,11.9300003051758,01000060,Both,Non-Continuous,10.2,Dual Loop,About 1.1 km north of Salvation Rd,01 - Northland,74,2112,2402,2458,2621,2913,Regional Non-Continuous
1643685.2316,6127915.6254,6,10,79,2.20000004768372,01000076,Both,Non-Continuous,6.4,Dual Loop,By Doubtless Bay Croquet Club 50-100m W of Stratford Dr Cable Bay,01 - Northland,42,4025,4412,4568,4668,4668,Regional Non-Continuous
1633983.2404,6128180.4005,7,10,79,12.8599996566772,01000092,Both,Non-Continuous,5.9,Dual Loop,East of Lake Ohia Bridge midway btwn Inland Rd & Pekerau Rd,01 - Northland,25,3395,3237,3427,3547,3830,Regional Non-Continuous
1699123.3243,6086403.7851,8,11,0,3.74000000953674,01100004,Both,Non-Continuous,4,Dual Loop,Sth of Taumarere Bridge just N of level crossing N of Kawakawa,01 - Northland,42,2649,2746,2048,2899,2857,Regional Non-Continuous
1699880.0493,6093656.917,9,11,0,13.9460000991821,01100013,Both,Continuous,2.9,Dual Loop,Nth of Waimangaro Rd (actually just S of Waimangaro R btwn Paihia & Opua),01 - Northland,56,4879,5066,5172,5246,5595,Regional Continuous
1687522.9521,6093297.6073,10,11,14,15.1499996185303,01100027,Both,Continuous,4.6,Dual Loop,Puketona Rd (East of SH10),01 - Northland,271,4584,4725,4562,5424,5263,Regional Continuous
1677516.7036,6084388.2428,11,12,0,4.19999980926514,01200004,Both,Continuous,4.8,Dual Loop,South of Old School Rd (about 7km east of Kaikohe),01 - Northland,362,3994,4141,4303,4414,4132,Regional Continuous
1673356.0302,6081937.4959,12,12,9,1.06599998474121,01200010,Both,Non-Continuous,3.6,Dual Loop,Broadway Kaikohe about 20m west of Quarry Rd,01 - Northland,62,7128,7399,7385,7849,7366,Regional Non-Continuous
1660857.1771,6075419.0817,13,12,17,9.36999988555908,01200026,Both,National,5.6,Telemetry,KAIKOHE - Telemetry Site 102 ,01 - Northland,349,1504,1561,1616,1692,1543,Telemetry
1636737.5429,6071600.1354,14,12,61,0.810000002384186,01200062,Both,Non-Continuous,3.4,Dual Loop,West of Waiotemarama Gorge Rd Pakanae,01 - Northland,89,1362,1359,1491,1509,1397,Regional Non-Continuous
1644164.6457,6064505.6853,15,12,74,5.19000005722046,01200079,Both,Non-Continuous,6.7,Dual Loop,About 200m south of Weka Weka Rd/Goodwin Rd Waimamaku,01 - Northland,13,368,390,483,416,445,Regional Non-Continuous
1648175.0769,6059948.6453,16,12,89,0.0399999991059303,01200089,Both,Non-Continuous,6.5,Dual Loop,Sth of Wairau River Bridge Waipoua Forest,01 - Northland,27,326,329,399,370,338,Regional Non-Continuous
1655867.2153,6044362.9073,17,12,106,7.21999979019165,01200114,Both,Non-Continuous,9.6,Dual Loop,800m north of Aranga Station Rd,01 - Northland,93,475,430,548,476,406,Regional Non-Continuous
1665292.4442,6039401.0324,18,12,122,3.13000011444092,01200125,Both,Non-Continuous,11.4,Dual Loop,Nth of Ahikiwi Rd,01 - Northland,92,916,928,965,884,806,Regional Non-Continuous
1672263.6711,6027628.1093,19,12,132,8.36999988555908,01200141,Both,Non-Continuous,11.7,Dual Loop,About 1.5km north of Babylon Coast Rd (about 9km north of Dargaville),01 - Northland,94,1163,1221,1164,1164,1132,Regional Non-Continuous
1678144.4087,6021980.0712,20,12,132,19.2700004577637,01200151,Both,Non-Continuous,5.6,Dual Loop,Between Kings Court Av and Logan St Dargaville ,01 - Northland,27,5725,5869,6094,6257,5870,Regional Non-Continuous
1684230.0364,6013818.4219,21,12,153,10.3500003814697,01200163,Both,Non-Continuous,8.9,Dual Loop,North of Curnows Culvert approx 250m south of Mittai Road Mittai,01 - Northland,70,1911,2038,1996,2049,2022,Regional Non-Continuous
1708202.3984,6002273.5352,22,12,185,14.1999998092651,01200198,Both,Non-Continuous,9.1,Dual Loop,About 1.5km east of Ararua Rd 1km west of Petley Rd,01 - Northland,28,1947,2036,2096,2232,2199,Regional Non-Continuous
1720323.9801,6002006.9656,23,12,202,11.4840002059937,01200214,Both,Non-Continuous,7.9,Dual Loop,East of Blakey Rd by Maungatoroto Stockpile ,01 - Northland,69,2972,3109,3240,3317,3270,Regional Non-Continuous
1726239.608,6004396.1206,24,12,202,18.3400001525879,01200220,Both,Continuous,15.6,Dual Loop,East of Brynderwyn Brg 161 (about 2.2km from SH1),01 - Northland,252,3340,3510,3807,3629,3719,Regional Continuous
1718253.1818,6044840.8414,25,14,0,0.230000004172325,01400000,Both,Continuous,4.7,Dual Loop,Maunu Road Whangarei about 200m from SH1,01 - Northland,297,20862,21242,21689,21916,20102,Regional Continuous
1715639.49,6043864.6808,26,14,0,3.26999998092651,01400002,Both,Non-Continuous,3.7,Dual Loop,West of Kowhai Park Rd Whangarei,01 - Northland,29,11647,11768,12182,12666,11947,Regional Non-Continuous
1714769.9353,6043805.5427,27,14,0,4.22399997711182,01400004,Both,Non-Continuous,4.1,Dual Loop,Maunu West of Austin Road Whangarei ,01 - Northland,29,9532,9282,9633,9974,9746,Regional Non-Continuous
1710677.0633,6043930.3405,28,14,0,8.59000015258789,01400009,Both,Non-Continuous,4,Dual Loop,East of Kara Rd,01 - Northland,35,6117,6228,6515,6454,6084,Regional Non-Continuous
1705611.2199,6039776.3389,29,14,15,0.850000023841858,01400016,Both,National,11.9,Telemetry,MAUNGATAPERE - Telemetry Site 104 ,01 - Northland,363,2913,3068,3095,3124,2973,Telemetry
1691657.8788,6034495.2038,30,14,30,3.1800000667572,01400034,Both,Non-Continuous,13.4,Dual Loop,East of Kara Rd (about 7km west of SH1 Whangarei),01 - Northland,28,2079,2239,2272,2279,2151,Regional Non-Continuous
1680194.2641,6027022.6325,31,14,44,6.76000022888184,01400052,Both,Non-Continuous,11.2,Dual Loop,East of Te Wharau Rd about 5km north of SH12 Dargaville,01 - Northland,28,2527,2699,2752,2681,2562,Regional Non-Continuous
1675177.7197,6088976.0268,32,15,0,0.870000004768372,01500001,Both,Non-Continuous,5.5,Dual Loop,Te Pua Rd S of SH1,01 - Northland,28,2040,1950,2022,2084,2002,Regional Non-Continuous
1673377.3615,6080658.1487,33,15,9,1.16499996185303,01500011,Both,Continuous,6.2,Dual Loop,Mangakahia Road Kaikohe S of,01 - Northland,362,1758,1626,2227,2338,2169,Regional Continuous
1675750.0075,6072665.04,34,15,9,10.2740001678467,01500020,Both,Non-Continuous,12.7,Dual Loop,Mangakahia Road Tautoro S of,01 - Northland,28,1248,836,733,720,707,Regional Non-Continuous
1676620.3129,6057535.38,35,15,27,9.88700008392334,01500037,Both,Non-Continuous,15.9,Dual Loop,Mangakahia Road N of Twin Bridges,01 - Northland,28,661,580,546,542,535,Regional Non-Continuous
1680761.7143,6051051.8469,36,15,44,2.06599998474121,01500046,Both,Non-Continuous,15.2,Dual Loop,Mangakahia Road Pakotai N of,01 - Northland,28,737,666,580,572,560,Regional Non-Continuous
1686011.7339,6047287.6815,37,15,44,9.5620002746582,01500053,Both,Non-Continuous,15,Dual Loop,Mangakahia Road Parakao E of,01 - Northland,28,603,764,666,655,620,Regional Non-Continuous
1695982.7002,6045171.3975,38,15,54,12.6899995803833,01500066,Both,Non-Continuous,10.7,Dual Loop,Mangakahia Road Titoki E of,01 - Northland,28,1045,1372,1197,1227,1122,Regional Non-Continuous
1705253.8363,6043222.1576,39,15,69,7.71000003814697,01500077,Both,Non-Continuous,9.1,Dual Loop,Mangakahia Road Maungatapere W of,01 - Northland,28,2537,2661,2463,2209,2021,Regional Non-Continuous
1709877.8119,6042130.0086,40,15,81,0.889999985694885,01500082,Both,Continuous,18.2,Dual Loop,Otaika Valley Road Maungatapere E of,01 - Northland,363,1733,1716,1595,1626,1544,Regional Continuous
1717448.9319,6039399.6843,41,15,81,9.69999980926514,01500091,Both,Non-Continuous,17.1,Dual Loop,Otaika Valley Road Otaika W of,01 - Northland,28,2074,2390,2351,2293,2104,Regional Non-Continuous
1732636.9838,6031369.6109,42,15A,111,6.00699996948242,15A00006,Both,Continuous,19.4,Dual Loop,Port Marsden Highwaybetween Bens View Rd & Rama Rd ,01 - Northland,363,3855,4249,4500,4363,3860,Regional Continuous
1585328.6452,6180648.1625,43,1N,0,20.0300006866455,01N00020,Both,Non-Continuous,,Dual Loop,North of Te Hapua Rd,01 - Northland,,315,358,356,378,,Regional Non-Continuous
1585281.7443,6180301.1658,44,1N,20,0.354000002145767,01N00021,Both,Non-Continuous,5.7,Dual Loop,South of Te Hapua Rd about 100m S of restaurant/service station.,01 - Northland,94,386,418,417,496,336,Regional Non-Continuous
1609890.5088,6149403.8143,45,1N,65,2.5,01N00067,Both,Non-Continuous,6.2,Dual Loop,Sth of Motutango S of Salvation Rd (600m S of Turk Valley Rd),01 - Northland,94,1097,1438,1308,1356,1234,Regional Non-Continuous
1619566.9379,6124929.4617,46,1N,83,13.789999961853,01N00097,Both,Non-Continuous,7.8,Dual Loop,Nth of Ninety Mile Beach Rd (about 1.5km S of Waiharara),01 - Northland,93,1829,1934,2098,2173,1904,Regional Non-Continuous
1623224.6776,6122901.8918,47,1N,83,18.5900001525879,01N00102,Both,Non-Continuous,6.1,Dual Loop,Sth of Spains Rd (about 400m S of Big Flat Rd/Srhoj Rd),01 - Northland,94,3387,3444,3867,4052,3561,Regional Non-Continuous
1623502.0236,6119167.7012,48,1N,104,2.66000008583069,01N00107,Both,Continuous,4.7,Dual Loop,Sth of Brott Rd (2km S of SH10 at Awanui),01 - Northland,363,6892,7140,7405,8108,7465,Regional Continuous
1624167.9359,6114420.1871,49,1N,104,7.71999979019165,01N00112,Both,Non-Continuous,4.6,Dual Loop,About 150m south of Empire St Kaitaia,01 - Northland,95,4372,4377,4467,4764,4498,Regional Non-Continuous
1626770.5841,6112949.248,50,1N,104,11.0600004196167,01N00117,Both,Non-Continuous,6.4,Dual Loop,Sth (physically East) of Fryer Rd (about 1.3km W of Ruaroa Rd),01 - Northland,55,3078,3026,3168,3464,2542,Regional Non-Continuous
1639516.5156,6108651.741,51,1N,119,11.460000038147,01N00130,Both,Non-Continuous,10.3,Dual Loop,Nth of Ramseys Bridge Mangataiore,01 - Northland,42,1180,1239,1245,1336,730,Regional Non-Continuous
1664400.4262,6094767.8339,52,1N,167,4.34999990463257,01N00171,Both,Non-Continuous,9,Dual Loop,Sth of Sturge Rd (near Lewis Rd Waihou Valley),01 - Northland,95,1812,1910,1961,2171,1460,Regional Non-Continuous
1674621.9711,6089356.3916,53,1N,167,17.4799995422363,01N00184,Both,Non-Continuous,8.5,Dual Loop,Nth of Bullman Rd,01 - Northland,95,2981,3069,3063,3396,2810,Regional Non-Continuous
1679769.4574,6087910.5642,54,1N,185,5.19000005722046,01N00190,Both,Continuous,9.2,Dual Loop,Sth of Mason Culvert (about 500m N of SH12 Ohaeawai),01 - Northland,363,1689,1706,1701,1862,1376,Regional Continuous
1682081.0876,6088425.3996,55,1N,190,2.13000011444092,01N00192,Both,Non-Continuous,7.2,Dual Loop,North (actually 150m west) of Old Bay Road 2km east of Ohaeawai.,01 - Northland,28,4647,4894,5155,5166,4717,Regional Non-Continuous
1686965.8749,6086940.8292,56,1N,198,0.0500000007450581,01N00198,Both,Non-Continuous,8.8,Dual Loop,About 50m east of SH10 junction Pakaraka,01 - Northland,28,6348,6729,7610,7075,6753,Regional Non-Continuous
1693396.6656,6084080.8016,57,1N,198,8.59000015258789,01N00207,Both,Non-Continuous,7.5,Dual Loop,West of Saies Rd just east of Moerewa,01 - Northland,28,8499,7843,8635,8632,8289,Regional Non-Continuous
1694877.2273,6084786.3693,58,1N,198,10.2200002670288,01N00209,Both,Non-Continuous,7.9,Dual Loop,Nth of Williams Bridge about 1.2km NW of Kawakawa ,01 - Northland,28,8523,8262,9261,8643,8124,Regional Non-Continuous
1697198.728,6084237.6348,59,1N,198,13.1999998092651,01N00211,Both,Non-Continuous,7.4,Dual Loop,Queen St Kawakawa just W of junc with SH11,01 - Northland,28,9044,9158,9662,9322,8766,Regional Non-Continuous
1697357.85,6083013.5395,60,1N,211,1.27999997138977,01N00212,Both,National,11.4,Telemetry,KAWAKAWA - Telemetry Site 18 about 1.2km south of SH11,01 - Northland,348,6992,7201,7338,7402,6843,Telemetry
1711351.1276,6067244.6164,61,1N,233,5.11700010299683,01N00238,Both,Non-Continuous,10,Dual Loop,North of Waiotu Block Rd ,01 - Northland,28,7015,7112,6638,7091,6617,Regional Non-Continuous
1716426.8922,6063100.0079,62,1N,245,1.02999997138977,01N00246,Both,Non-Continuous,9.1,Dual Loop,About 1100m south of Corbett Rd/Whananaki North Rd,01 - Northland,28,9429,9514,9801,9742,9316,Regional Non-Continuous
1716849.4389,6057300.0841,63,1N,245,7.10699987411499,01N00254,Both,Non-Continuous,9.3,Dual Loop,500m north of Mower Road Kauri,01 - Northland,28,11482,12701,12618,12601,12265,Regional Non-Continuous
